ӄԓявыԓя риӄукэтэ ивнин ытри ынкы варкыт гынин ӈэвъэн гэԓгыԓин мэмыԓя рагтыгъэ	ӄ ԓ я в ы ԓ _ я _ р и ӄ у к э _ тэ _ и в _ ни _ н _ ы т р и _ ы н _ кы _ в а р к ы _ т _ г ы н _ ин _ ӈ э в ъ э _ н _ г э _  ԓ г ы _ ԓин _ м э м ы ԓ _  я _ р а _ гты _  г ъ э _ 
ӄԓявыԓ ынкъам купрэн ынанъомрычьын	 ӄ ԓ я в ы ԓ _ ы н к ъ а м _ к у п р э н _ ы н а н ъ о м р ы _  ч ь ы _  н _ 
рытэнмавнэн ынӄо эргатык эквэтгъэт копрантыватысӄэквъат	 р ы т э _ нм _ ав _  н э н _ ы н ӄ о _ э р г _ атык _ э к в э т _  г ъ э _ т _ к о п р а _  н т ы в _ аты _  с ӄ э к _  в ъ а _ т _ 
риӄукэтэ гамгаваны нэнайӈоткоӄэн ӄоԓ	 р и ӄ у к э _ тэ _ г а _  м г а в _  а н ы _ н _ эна _  й ӈ о _  т к о _  ӄ э н _ ӄ о ԓ _ 
ԓьунин ынӄо йыӈотконэн	 ԓ ь у _ ни _ н _ ы н ӄ о _ й ы ӈ о _ тко _  н э _ н _ 
 эвын коԓё	 _ э в ы н _ к о ԓ ё _ 
тыкгаткэта ивнин риӄукэтэ	 т ы _  к г а т _  к э _  т а _ и в _ ни _ н _ р и ӄ у к э _ тэ _ 
йыӈотконэн эвын коԓё	 й ы ӈ о _ тко _  н э _ н _ э в ы н _ к о ԓ ё _ 
тыкгаткэта	 т ы _  к г а т _  к э _  т а _ 
ивнин риӄукэтэ ынкы	 и в _ ни _ н _ р и ӄ у к э _ тэ _ ы н _ кы _ 
рытваннэнат риӄукэтэ ивнин	 р ы т в а _  н _  н э _  н а _ т _ р и ӄ у к э _ тэ _ и в _ ни _ н _ 
мачынан ынкы нытваркын ынӄо	 м а ч ы _ нан _ ы н _ кы _ н ы _ тва _  р к ы н _ ы н ӄ о _ 
эргатык купрэт ёпаннэнат эвын гакваԓен	 э р г _ атык _ к у п р э т _ ё _  п а н _ нэ _  н а _ т _ э в ы н _ г а к в а _  ԓ е н _ 
ӈавмэмыԓчыӈын ынӄо рырагтаннэн ынкъам	 ӈ а в м э м ы _  ԓ ч ы _ ӈы _ н _ ы н ӄ о _ р ы _  р а _ гт _  а н _ нэ _ н _ ы н к ъ а м _ 
тэнуйгын йыннин	 т э н у _  й г ы _ н _ й ы н _  н и _ н _ 
ыттъын ратвынэн рывэнӈынин	 ы т т ъ ы _ н _ р а _  т в ы _ нэн _ р ы в э н ӈ ы _  н и н _ 
авынаёԓьэты ԓинԓиӈ йытонэн мэмыԓыткынык рытриԓнин ынӄо ӄԓявыԓ	 а в ы н а ё ԓ ь _  э т ы _ ԓ и н _  ԓ и ӈ _ й ы т о _  н э _  н _ м э м ы _  ԓ ы т к ы н ы _ к _ р ы т _ риԓ _ ни _ н _ ы н ӄ о _ ӄ ԓ я в ы ԓ _ 
ӈытогъэ этъоӄайӄын рэсӄиквъи ԓюур	 ӈ ы т о _ гъ _ э _ э т ъ о _  ӄ а й _  ӄ ы н _ р э с _ ӄ _ ик _ въ _ и _ ԓ ю у р _ 
рымъэйӈэнин ӄԓявыԓя	 р ы м _  ъ э й ӈ э _ ни _ н _ ӄ ԓ я в ы ԓ _ я _ 
ивнин ивнин ӈэвъэнйыръэ с амыным	 и в _ ни _ н _ и в _ ни _ н _ ӈ э в ъ э н _  й ы р ъ _ э _ с _ а м _ ыным _ 
аны ԓыгитэнчимгъуԓьын ӈэвысӄэтӄэй чама	 а н ы _ ԓ ы г и т э _  н _  ч и м г ъ у _  ԓ ь ы _ н _ ӈ э в ы с ӄ э т _  ӄ э й _ ч а м а _ 
ныԓгэнываӈэӄэн ытԓыгэ ытԓьата	 ны _  ԓ г э _ ны _  в а ӈ э _ ӄэн _ ы т ԓ ы г _ э _ ы т ԓ ь а _ та _ 
ынкъам	 ы н к ъ а м _ 
ытԓенъюрык гыԓёо ныԓгыӄин ытԓён энмэн	 ы т ԓ е н _  ъ ю р ы _  к _ г ы ԓ ё о _ н ы _ ԓгы _  ӄ и н _ ы т ԓ ё н _ э н м э н _ 
ӄуԓинымнымык	 ӄ у ԓ и _  н ы м н ы _ мык _ 
ӄоԓ гатъыԓыӈоԓен ӈэвысӄэтӄэй амыным	 ӄ о ԓ _ г а _  т ъ ы ԓ ы _ ӈо _  ԓ е н _ ӈ э в ы с ӄ э т _  ӄ э й _ а м _  ы н ы м _ 
аны ԓыгитэнчимгъуԓьын ӈэвысӄэтӄэй чама ныԓгэнываӈэӄэн ытԓыгэ ытԓьата ынкъам ытԓенъюрык гыԓёо ныԓгыӄин ытԓён ынкыым мэтчымчек нытваӄэн нымнымӄэйык ӄоԓ эӈэӈыԓьын	 а н ы _ ԓ ы г и т э _  н _  ч и м г ъ у _  ԓ ь ы _ н _ ӈ э в ы с ӄ э т _  ӄ э й _ ч а м а _ н ы _  ԓ г э _ ны _  в а ӈ э _  ӄ э н _ ы т ԓ ы г _ э _ ы т ԓ ь а _ та _ ы н к ъ а м _ ы т ԓ е н _  ъ ю р ы _  к _ г ы ԓ ё о _ н ы _ ԓгы _  ӄ и н _ ы т ԓ ё н _ ы н _  к _ ыым _ м э т _  ч ы м ч _ е _  к _ н ы _ тва _ ӄэн _ н ы м н ы м _  ӄ э й _  ы к _ ӄ о ԓ _ э ӈ э ӈ ы _ ԓьы _ н _ 
ӄынвэр ытԓыгын иквъи	 ӄ ы н в э р _ ы т ԓ ы г ы _ н _ и к _ въ _ и _ 
наӄам ӈутку варкын мэтчымче	 н а ӄ а м _ ӈ у т к у _ в а _  р к ы н _ м э т _  ч ы м ч _ е _ 
нымнымӄэйык ԓыӈыр амытва рытъё эӈэӈыԓьын ӈэвъэнэ ивнин юрэӄым нъынмэԓевэннин наӄам	 н ы м н ы м _  ӄ э й _  ы к _ ԓ ы ӈ ы р _ а м ы т в а _ р ы т ъ _  ё _ э ӈ э ӈ ы _ ԓьы _ н _ ӈ э в ъ э н _ э _ и в _ ни _ н _ ю р э _ ӄым _ н _  ъ ы н м э ԓ е в _  э н _  н и _ н _ н а ӄ а м _ 
ытԓенъюӄэгти нытэргыръоӄэнат ԓиӈвиттэ чакэттэты эквэтгъи	 ы т ԓ е н _  ъ ю ӄ э г _  т и _ н ы _  т э р г ы _  р ъ о _ ӄэна _ т _ ԓ и ӈ _  в и т _  т э _ ч а к э т _  т э т ы _ э к в э т _ гъ _ и _ 
ытԓыгын аӈаӈыԓьэты пыкиргъи нымнымӄэйык иквъэт эмитԓёным	 ы т ԓ ы г ы _ н _ а ӈ а ӈ ы _ ԓь _ эты _ п ы к и р _  г ъ _ и _ н ы м н ы м _  ӄ э й _  ы к _ и к _  в ъ э _ т _ э _  м и т ԓ ё н ы м _ 
ынин яраӈы ӄытгъи ӈэнри ярачыкогты рэсӄиквъи ԓюур вай начайпатгъан чайпанмаым нывэтгавчетӄэнат нэнамӈыԓёӄэн рэмкыԓьын	 ы н _  и н _ я р а _  ӈ ы _ ӄ ы т _ гъ _ и _ ӈ э н _  р и _ я р а _  ч ы к о _  г т ы _ р э с _ ӄ _ ик _ въ _ и _ ԓ ю у р _ в а й _ н а ч а й _  п а т _  г ъ а _  н _ ч а й _  п а н _  м а ы м _ н ы _  в э т г а в _  ч е т _ ӄэна _ т _ н _  э н а _  м ӈ ы ԓ ё _  ӄ э н _ р э м к ы _ ԓьы _ н _ 
